highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data
SSDP,UDP,192.168.1.35,239.255.255.250,50044,1900,0,1,-1,2019-01-19 15:41:18.555755,1547892678555,Unknown,
SSDP,UDP,192.168.1.1,192.168.1.35,1900,50044,16384,2,-1,2019-01-19 15:41:18.557272,1547892678557,Unknown,
ICMPV6,NONE,fe80::1,ff02::1,-1,-1,-1,0,-1,2019-01-19 15:41:18.961457,1547892678961,Unknown,
DNS,UDP,fe80::e8c6:ffec:88f9:7080,fe80::1,59503,53,-1,0,-1,2019-01-19 15:41:19.896257,1547892679896,Unknown,
ICMPV6,NONE,fe80::1,ff02::1:fff9:7080,-1,-1,-1,0,-1,2019-01-19 15:41:19.968309,1547892679968,Unknown,
ICMPV6,NONE,fe80::e8c6:ffec:88f9:7080,fe80::1,-1,-1,-1,0,-1,2019-01-19 15:41:19.968521,1547892679968,Unknown,
DNS,UDP,fe80::1,fe80::e8c6:ffec:88f9:7080,53,59503,-1,0,-1,2019-01-19 15:41:19.969437,1547892679969,Unknown,
TCP,TCP,192.168.1.35,88.191.250.2,19554,80,16384,0,2,2019-01-19 15:41:20.125565,1547892680125,Unknown,
TCP,TCP,88.191.250.2,192.168.1.35,80,19554,16384,0,18,2019-01-19 15:41:20.688983,1547892680688,Unknown,
TCP,TCP,192.168.1.35,88.191.250.2,19554,80,16384,0,16,2019-01-19 15:41:20.689343,1547892680689,Unknown,
HTTP,TCP,192.168.1.35,88.191.250.2,19554,80,16384,1,24,2019-01-19 15:41:20.689573,1547892680689,Unknown,
TCP,TCP,88.191.250.2,192.168.1.35,80,19554,16384,0,16,2019-01-19 15:41:21.236994,1547892681236,Unknown,
DATA,TCP,88.191.250.2,192.168.1.35,80,19554,16384,5,24,2019-01-19 15:41:21.238722,1547892681238,Unknown,
TCP,TCP,192.168.1.35,88.191.250.2,19554,80,16384,0,16,2019-01-19 15:41:21.279542,1547892681279,Unknown,
TCP,TCP,192.168.1.35,88.191.250.2,19554,80,16384,0,17,2019-01-19 15:41:21.291421,1547892681291,Unknown,
TCP,TCP,192.168.1.35,88.191.250.2,19555,80,16384,0,2,2019-01-19 15:41:21.332096,1547892681332,Unknown,
TCP,TCP,88.191.250.2,192.168.1.35,80,19554,16384,0,17,2019-01-19 15:41:21.848306,1547892681848,Unknown,
TCP,TCP,192.168.1.35,88.191.250.2,19554,80,16384,0,16,2019-01-19 15:41:21.848516,1547892681848,Unknown,
TCP,TCP,88.191.250.2,192.168.1.35,80,19555,16384,0,18,2019-01-19 15:41:21.872743,1547892681872,Unknown,
TCP,TCP,192.168.1.35,88.191.250.2,19555,80,16384,0,16,2019-01-19 15:41:21.873020,1547892681873,Unknown,
HTTP,TCP,192.168.1.35,88.191.250.2,19555,80,16384,1,24,2019-01-19 15:41:21.882853,1547892681882,Unknown,
